name,lat,lon
Singapore,1.264,103.840
Shanghai,31.222,121.458
Ningbo,29.868,121.544
Shenzhen,22.544,114.109
Guangzhou,23.102,113.267
Hong Kong,22.308,114.225
Qingdao,36.067,120.382
Tianjin,39.007,117.708
Dalian,38.914,121.614
Xiamen,24.479,118.089
Fuzhou,26.074,119.296
Yantai,37.463,121.448
Rizhao,35.415,119.526
Beihai,21.481,109.119
Haikou,20.044,110.199
Busan,35.102,129.040
Incheon,37.456,126.705
Ulsan,35.538,129.311
Pohang,36.019,129.343
Tokyo,35.657,139.797
Yokohama,35.443,139.638
Nagoya,35.090,136.884
Kobe,34.690,135.195
Osaka,34.693,135.502
Hiroshima,34.385,132.455
Kitakyushu,33.883,130.875
Hakodate,41.768,140.728
Otaru,43.200,141.003
Kagoshima,31.596,130.557
Bangkok,13.721,100.515
Laem Chabang,13.100,100.900
Ho Chi Minh City,10.776,106.701
Hai Phong,20.864,106.683
Da Nang,16.054,108.202
Manila,14.604,120.982
Cebu,10.315,123.885
Davao,7.190,125.455
Jakarta,-6.106,106.876
Surabaya,-7.257,112.752
Semarang,-6.966,110.416
Makassar,-5.147,119.432
Belawan,3.784,98.683
Port Klang,3.000,101.400
Penang,5.414,100.328
Tanjung Pelepas,1.360,103.533
Colombo,6.927,79.861
Chennai,13.082,80.270
Mumbai,18.948,72.844
Nhava Sheva,18.950,72.950
Kolkata,22.572,88.363
Visakhapatnam,17.686,83.218
Kandla,23.033,70.217
Cochin,9.931,76.267
Tuticorin,8.764,78.134
Mormugao,15.404,73.803
Paradip,20.316,86.608
Haldia,22.032,88.069
Chittagong,22.356,91.783
Karachi,24.860,67.001
Gwadar,25.126,62.325
Port Qasim,24.777,67.346
Bandar Abbas,27.186,56.280
Dubai,25.269,55.272
Jebel Ali,25.000,55.060
Abu Dhabi,24.453,54.377
Doha,25.286,51.531
Muscat,23.585,58.405
Salalah,17.019,54.092
Aqaba,29.532,35.007
Haifa,32.819,34.999
Ashdod,31.801,34.643
Istanbul,41.008,28.978
Izmir,38.423,27.142
Mersin,36.812,34.641
Piraeus,37.942,23.646
Thessaloniki,40.640,22.944
Barcelona,41.385,2.173
Valencia,39.469,-0.376
Bilbao,43.263,-2.935
Marseille,43.296,5.369
Le Havre,49.494,0.107
Rotterdam,51.949,4.145
Amsterdam,52.367,4.904
Antwerp,51.221,4.399
Hamburg,53.551,9.993
Bremerhaven,53.539,8.580
Gdansk,54.352,18.646
Stockholm,59.329,18.068
Helsinki,60.169,24.938
Tallinn,59.437,24.753
Riga,56.949,24.106
Copenhagen,55.676,12.568
Oslo,59.913,10.752
Bergen,60.392,5.324
Murmansk,68.958,33.082
Saint Petersburg,59.934,30.335
Novorossiysk,44.723,37.768
Vladivostok,43.115,131.885
Durban,-29.858,31.021
Cape Town,-33.918,18.421
Port Elizabeth,-33.961,25.602
Richards Bay,-28.780,32.037
Walvis Bay,-22.957,14.505
Luanda,-8.838,13.234
Abidjan,5.345,-4.024
Tema,5.669,-0.016
Lagos,6.454,3.394
Cotonou,6.357,2.430
Lome,6.131,1.222
Dakar,14.716,-17.467
Casablanca,33.573,-7.589
Tangier,35.759,-5.834
Algiers,36.753,3.058
Oran,35.697,-0.630
Tunis,36.806,10.181
Alexandria,31.200,29.918
Port Said,31.265,32.301
Damietta,31.417,31.813
Djibouti,11.572,43.145
Berbera,10.439,45.014
Mombasa,-4.043,39.668
Dar es Salaam,-6.792,39.208
Maputo,-25.969,32.573
Beira,-19.843,34.838
Nacala,-14.563,40.685
Port Louis,-20.160,57.501
Victoria,-4.619,55.451
